fighter_a,fighter_b,date,label,height_diff,reach_diff,age_diff,wins_diff,losses_diff,win_streak_diff,slpm_diff,sapm_diff,td_avg_diff,sub_avg_diff,kd_avg_diff,ctrl_avg_diff,ko_rate_diff,sub_rate_diff,southpaw_diff
Randy Couture,Vitor Belfort,1997-10-17,1,1.0,1.0,13.776865160848732,-1.0,0.0,-1.0,-8.455689091310367,-0.9137055837563453,2.5460965871471277,3.5573122529644268,-9.137055837563452,0.0,-0.5,0.5,-1.0
Wanderlei Silva,Tito Ortiz,2000-04-14,0,-4.0,0.0,-1.4428473648186184,-2.0,-1.0,2.0,3.9804595428088874,1.7865408152903008,-6.724782067247821,0.0,3.8626609442060085,-23.661270236612705,0.33333333333333337,0.0,0.0
Evan Tanner,Tito Ortiz,2001-02-23,0,-3.0,0.0,3.94798083504449,-2.0,-2.0,1.0,2.8101261660646766,-0.05026078982508664,-2.53863961317459,4.2742809066670695,-0.22382491917433475,-16.917202525148014,0.2666666666666666,0.1333333333333333,0.0
Caol Uno,BJ Penn,2001-11-02,0,-2.0,0.0,3.6002737850787128,-1.0,1.0,-1.0,-1.4959516144766365,1.566676421812506,-1.1230611647644135,0.0,-1.9607843137254903,-30.369963905960393,0.0,0.0,1.0
BJ Penn,Jens Pulver,2002-01-11,0,2.0,0.0,-4.019164955509925,-2.0,0.0,-2.0,1.9692926429691184,-0.7590153667532651,4.591590582519322,-0.6107215562090025,3.264634240415882,10.506607324736247,0.6,0.0,-1.0
Elvis Sinosic,Evan Tanner,2002-03-22,0,3.0,3.0,-0.005475701574262359,-3.0,0.0,-2.0,-2.8591008771929824,5.084978070175438,-1.9736842105263157,-1.2335526315789478,0.0,-11.096491228070175,-0.5,0.5,0.0
Josh Barnett,Randy Couture,2002-03-22,1,2.0,3.0,-14.387405886379192,-4.0,1.0,-5.0,-0.12486875803183439,0.37982546941185746,-0.6620670103743751,0.608274678171396,0.0,6.121920141303674,0.09523809523809523,0.19047619047619047,0.0
Chuck Liddell,Vitor Belfort,2002-06-22,1,2.0,2.0,7.288158795345655,1.0,0.0,3.0,-0.7052699677614069,-1.419269529251583,-2.3064398686636003,-2.7108433734939754,-2.3064398686636003,4.488878903617165,-0.6333333333333334,-0.2,-1.0
Renato Sobral,Elvis Sinosic,2002-07-13,1,-2.0,-2.0,-4.563997262149211,0.0,-1.0,1.0,-0.7588235294117647,-4.645098039215687,2.0,-0.02941176470588225,0.0,23.6,0.0,-1.0,0.0
Matt Serra,BJ Penn,2002-09-27,0,-3.0,-2.0,4.5311430527036265,-2.0,0.0,1.0,-2.238748983551149,-0.3191981663443971,-0.8260874643412226,3.4000440612201253,-0.7137192704203014,7.302458527477242,-1.0,0.5,0.0
Chuck Liddell,Renato Sobral,2002-11-22,1,1.0,1.0,5.722108145106091,5.0,0.0,5.0,1.4680495857472122,0.3312776428081978,-2.330280944371769,-2.3333333333333335,0.5045785834423472,-26.933233663489695,0.14285714285714285,0.0,0.0
Tito Ortiz,Ken Shamrock,2002-11-22,1,2.0,2.0,-10.948665297741272,3.0,1.0,4.0,1.0487079493854399,0.011666248126174006,3.0928448416268397,-2.2742490503510404,0.15535991714137753,37.938891765924396,0.3,-0.675,0.0
Phil Baroni,Matt Lindland,2003-02-28,0,-3.0,-2.0,-5.916495550992472,-2.0,0.0,1.0,0.18666261565962516,1.396367291373781,-2.83484980803821,0.7932071658935289,1.0350776308223115,-12.165235961630206,0.2666666666666666,0.0,-1.0
